company,Category,Compensation
Amazon,Grad,159304.6956
Amazon,Early,200537.9196
Amazon,Mid,243235.2475
Amazon,Late,328993.3036
Microsoft,Grad,164352.8278
Microsoft,Early,181437.9816
Microsoft,Mid,215511.1752
Microsoft,Late,292788.9814
Google,Grad,182786.0616
Google,Early,244512.1083
Google,Mid,305758.5207
Google,Late,421316.4319
Facebook,Grad,193573.3496
Facebook,Early,280416.953
Facebook,Mid,373834.065
Facebook,Late,512158.831
Apple,Grad,180963.6752
Apple,Early,243554.5171
Apple,Mid,285602.7228
Apple,Late,362962.3568
Oracle,Grad,171868.2171
Oracle,Early,191767.3469
Oracle,Mid,241863.806
Oracle,Late,280426.9406
Salesforce,Grad,177394.2308
Salesforce,Early,213788.2883
Salesforce,Mid,258024.2857
Salesforce,Late,344410.1942
Intel,Grad,134140
Intel,Early,140419.8473
Intel,Mid,173492.4925
Intel,Late,246771.261
Cisco,Grad,127269.8413
Cisco,Early,164818.1818
Cisco,Mid,200688.9764
Cisco,Late,273629.9694
Uber,Grad,177602.7397
Uber,Early,257430.5556
Uber,Mid,352296.875
Uber,Late,473455.3991
Capital One,Grad,109606.0606
Capital One,Early,132078.4884
Capital One,Mid,161551.3514
Capital One,Late,225637.5839
IBM,Grad,107782.6087
IBM,Early,124553.1136
IBM,Mid,149608.6957
IBM,Late,204171.4286
LinkedIn,Grad,202573.0337
LinkedIn,Early,265581.6733
LinkedIn,Mid,342367.893
LinkedIn,Late,466938.5475
VMware,Grad,154880
VMware,Early,189974.359
VMware,Mid,221951.5419
VMware,Late,301358.7444
Qualcomm,Grad,137971.831
Qualcomm,Early,148692.8105
Qualcomm,Mid,194580.6452
Qualcomm,Late,269057.1429
Bloomberg,Grad,167598.0769
Bloomberg,Early,204498.6842
Bloomberg,Mid,247218.75
Bloomberg,Late,303268.8172
Intuit,Grad,141086.2069
Intuit,Early,193546.0993
Intuit,Mid,242482.2695
Intuit,Late,302806.2016
JPMorgan Chase,Grad,95653.06122
JPMorgan Chase,Early,128615.3846
JPMorgan Chase,Mid,153470.5882
JPMorgan Chase,Late,212127.451
PayPal,Grad,138324.3243
PayPal,Early,180257.3529
PayPal,Mid,242478.8732
PayPal,Late,318899.1597
Twitter,Grad,189795.4545
Twitter,Early,271725.3521
Twitter,Mid,356487.3418
Twitter,Late,436536.0825
Nvidia,Grad,180157.8947
Nvidia,Early,208743.8017
Nvidia,Mid,275351.3514
Nvidia,Late,352050.5051
Goldman Sachs,Grad,126950
Goldman Sachs,Early,158821.8391
Goldman Sachs,Mid,212806.8182
Goldman Sachs,Late,306516.129
eBay,Grad,148840
eBay,Early,184773.5849
eBay,Mid,230238.806
eBay,Late,303581.9672
Deloitte,Grad,84040
Deloitte,Early,110306.1224
Deloitte,Mid,153047.2441
Deloitte,Late,192236.8421
Lyft,Grad,230888.8889
Lyft,Early,315685.1852
Lyft,Mid,385098.1595
Lyft,Late,475084.3373
Adobe,Grad,185520
Adobe,Early,207418.1818
Adobe,Mid,239884.8921
Adobe,Late,304192.3077
Accenture,Grad,83000
Accenture,Early,119761.3636
Accenture,Mid,163362.6374
Accenture,Late,178891.5663
Netflix,Grad,356000
Netflix,Early,409500
Netflix,Mid,461405.4054
Netflix,Late,522795.6204
Dropbox,Grad,188705.8824
Dropbox,Early,264584.4156
Dropbox,Mid,338579.8319
Dropbox,Late,438505.7471
Airbnb,Grad,235952.381
Airbnb,Early,307942.5287
Airbnb,Mid,386902.6549
Airbnb,Late,484178.5714
Dell Technologies,Grad,105157.8947
Dell Technologies,Early,141146.3415
Dell Technologies,Mid,164671.875
Dell Technologies,Late,219947.9167
Snap,Grad,202766.6667
Snap,Early,334694.4444
Snap,Mid,466615.3846
Snap,Late,713189.1892
Average,Grad,141580.1
Average,Early,184232.1
Average,Mid,233008.2
Average,Late,298325.5
